Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,66,33,22861.05581789783,16.649872,34.00000031525953,True
0.05,1.0,66,33,22861.05581863451,6.307622,34.00000031525953,True
0.05,1000000.0,66,33,22860.5211760153,8.826811,34.00000031562193,True
0.05,5000000.0,66,33,22826.181393959458,7.624638,34.000000318119135,True
0.05,10000000.0,66,33,22739.64538457909,7.092379,34.00000031857251,True
0.05,50000000.0,66,33,22412.558867510845,12.189736,34.00000032587694,True
0.05,100000000.0,66,33,22026.66581106197,10.356906,34.00000032967417,True
0.1,0.0,66,33,22838.491005129268,11.341272,34.000000315814624,True
0.1,1.0,66,33,22811.543231946256,6.970826,34.00000031518779,True
0.1,1000000.0,66,33,22809.85760635534,9.315738,34.00000031564207,True
0.1,5000000.0,66,33,22790.499781803548,7.512418,34.00000031763179,True
0.1,10000000.0,66,33,12934.421564823737,65.832663,33.906183571597495,False
0.1,50000000.0,66,33,22432.91777906108,8.504584,34.00000032612498,True
0.1,100000000.0,66,33,21973.8867775578,10.289908,34.00000032968559,True
0.15,0.0,66,33,22804.18143143334,12.059184,34.000000315619495,True
0.15,1.0,66,33,22802.443223058657,14.457513,34.000000316253406,True
0.15,1000000.0,66,33,22823.47081028595,14.591222,34.0000003167306,True
0.15,5000000.0,66,33,22768.984767556165,7.624705,34.00000031862016,True
0.15,10000000.0,66,33,22975.009783848916,6.370901,34.000000319991585,True
0.15,50000000.0,66,33,22379.344011300494,9.886718,34.000000326163956,True
0.15,100000000.0,66,33,22249.68321450575,9.382678,34.00000032983632,True
0.2,0.0,66,33,22816.935757706644,8.88066,34.00000031690935,True
0.2,1.0,66,33,22816.935753152393,9.070337,34.00000031690939,True
0.2,1000000.0,66,33,22798.58877420276,9.648538,34.00000031796002,True
0.2,5000000.0,66,33,22756.787857022817,11.311241,34.00000031904231,True
0.2,10000000.0,66,33,22964.355037062003,5.740193,34.00000032035552,True
0.2,50000000.0,66,33,22362.436090807994,7.551048,34.000000326301624,True
0.2,100000000.0,66,33,21970.537844470706,14.562952,34.000000329887506,True
0.25,0.0,66,33,22771.559597485077,9.707578,34.000000317892436,True
0.25,1.0,66,33,23016.974441011615,5.548939,34.00000031720261,True
0.25,1000000.0,66,33,22774.153931780504,6.660674,34.00000031762821,True
0.25,5000000.0,66,33,22741.699264713247,6.069444,34.000000319440886,True
0.25,10000000.0,66,33,22678.844999960984,7.091348,34.00000032044895,True
0.25,50000000.0,66,33,22345.316741526178,12.393871,34.000000326435526,True
0.25,100000000.0,66,33,22623.801378943706,18.989868,34.00000032158547,True
0.3,0.0,66,33,22726.827877287178,7.889896,34.00000031742921,True
0.3,1.0,66,33,22758.106157251426,7.425335,34.00000031833887,True
0.3,1000000.0,66,33,22982.992568741523,7.352371,34.0000003185607,True
0.3,5000000.0,66,33,22729.50994536841,9.807476,34.00000031970165,True
0.3,10000000.0,66,33,22652.714673427497,6.668811,34.00000032109919,True
0.3,50000000.0,66,33,22327.9834024728,6.995813,34.000000326565804,True
0.3,100000000.0,66,33,21889.661953339404,13.13452,34.00000032996713,True
0.35,0.0,66,33,22764.8886252779,10.022655,34.00000031889185,True
0.35,1.0,66,33,22708.464636076864,9.444994,34.00000031843171,True
0.35,1000000.0,66,33,22759.337325571538,7.679998,34.00000031918361,True
0.35,5000000.0,66,33,22703.288066476533,6.631802,34.00000032054734,True
0.35,10000000.0,66,33,22690.283920521906,6.688197,34.00000032169628,True
0.35,50000000.0,66,33,22310.438461912865,6.700824,34.000000326692636,True
0.35,100000000.0,66,33,22948.021207447782,250.576116,33.999993106216394,False
0.4,0.0,66,33,22694.006460596895,9.02233,34.00000031886178,True
0.4,1.0,66,33,22730.44505706026,6.754142,34.0000003190607,True
0.4,1000000.0,66,33,22643.235066990896,9.570927,34.00000031881781,True
0.4,5000000.0,66,33,22664.54812046879,8.84397,34.00000032024506,True
0.4,10000000.0,66,33,22624.66290332342,8.194636,34.000000321675294,True
0.4,50000000.0,66,33,22292.687643985493,6.335296,34.00000032681624,True
0.4,100000000.0,66,33,21846.455290860038,16.866844,34.00000033012153,True
0.45,0.0,66,33,22955.89003454329,6.552539,34.000000319490304,True
0.45,1.0,66,33,22715.17017069327,9.636342,34.00000031946671,True
0.45,1000000.0,66,33,22933.838644927244,7.754373,34.000000320086684,True
