Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,76,38,23547.44138077182,195.047678,38.999987517871766,False
0.05,1.0,76,38,23528.35858186965,174.410644,38.99998747322667,False
0.05,1000000.0,76,38,23731.032676781022,193.865619,38.99998684997191,False
0.05,5000000.0,76,38,23720.14264604525,145.323757,38.99998824303745,False
0.05,10000000.0,76,38,23475.331183836104,135.21883,38.99999031398747,False
0.05,50000000.0,76,38,23542.29454703969,179.965247,38.99999449753524,False
0.05,80000000.0,76,38,23350.468984083927,178.7904,38.999995942359256,False
0.05,100000000.0,76,38,23310.447748368693,54.294379,39.0000003625438,True
0.1,0.0,76,38,23544.903421258976,139.585372,38.999987831449765,False
0.1,1.0,76,38,23449.67929976736,174.422414,38.999988246443934,False
0.1,1000000.0,76,38,23493.861552622362,171.250669,38.999988281921844,False
0.1,5000000.0,76,38,23502.614360030235,162.40754,38.999989329747166,False
0.1,10000000.0,76,38,23699.37956859942,160.593272,38.99998954986366,False
0.1,50000000.0,76,38,23532.56780653137,232.143312,38.99999458820746,False
0.1,80000000.0,76,38,22975.104718681723,18.261821,39.00000036702691,True
0.1,100000000.0,76,38,23298.623835786497,56.422249,39.0000003627101,True
0.15,0.0,76,38,23720.0980381543,140.779571,38.999987442186956,False
0.15,1.0,76,38,23456.209362683952,168.441403,38.999988442365684,False
0.15,1000000.0,76,38,23718.272174928323,158.087197,38.99998765226118,False
0.15,5000000.0,76,38,23408.51291377678,144.724761,38.999989923132475,False
0.15,10000000.0,76,38,23692.503765955888,196.471557,38.99998990784009,False
0.15,50000000.0,76,38,23522.506680152463,165.631184,38.9999946705637,False
0.15,80000000.0,76,38,23306.279242226068,193.809468,38.99999603796047,False
0.15,100000000.0,76,38,22831.90648283069,31.502074,39.0000003695954,True
0.2,0.0,76,38,23714.566431014337,136.087324,38.999987589623345,False
0.2,1.0,76,38,23432.494136718866,138.245815,38.999988797808186,False
0.2,1000000.0,76,38,23712.281731898074,158.833585,38.9999877902946,False
0.2,5000000.0,76,38,23700.78723994797,131.996912,38.99998891093193,False
0.2,10000000.0,76,38,23414.627875251772,33.460986,39.00000034146526,True
0.2,50000000.0,76,38,23201.894885820504,40.454227,39.000000361144934,True
0.2,80000000.0,76,38,23282.046204834158,251.084658,38.99999607733343,False
0.2,100000000.0,76,38,23274.915726404222,56.585306,39.00000036303651,True
