Beta,acc_reg,Intervals,time,avg_power,twall,final_time
0.5,1,50,25,14429.177184751452,4.63815,25
0.5,1,50,27,18158.612982864026,4.63815,27
0.5,1,50,29,20545.318683406906,4.63815,29
0.5,1,50,30,21248.617855511813,4.63815,30
0.5,1,50,32,22280.087262192385,4.63815,32
0.5,1,50,34,22886.924018550835,4.63815,34
0.5,1,50,36,23227.173502441423,4.63815,36
0.5,1,50,38,23475.31280915574,4.63815,38
0.5,1,50,40,23563.034042852574,4.63815,40
0.5,1,50,42,23701.75802336703,4.63815,42
0.5,1,50,44,23864.36465948978,4.63815,44
0.5,1,50,45,23918.780637864325,4.63815,45
0.5,1,50,47,23871.725115857796,4.63815,47
0.5,1,50,50,17351.983195999182,4.63815,50
0.5,1,50,53,24202.947472022453,4.63815,53
0.5,1,50,55,22326.105443849847,4.63815,54.9019
0.5,1,50,57,915.0086381844624,4.63815,56.1604
0.5,1,50,59,11136.870764184221,4.63815,57.946
0.5,1,50,60,22306.439175984113,4.63815,59.7323
0.5,1,50,65,15608.258504727395,4.63815,64.4795
0.5,1,50,70,20726.345014523296,6.162009,69.7013
0.5,1,50,75,20885.381805583656,6.162009,74.674
0.5,1,50,80,17431.558295423227,6.162009,79.4294
0.5,1,50,90,24791.892454122182,11.803053,89.9999
0.5,1,50,100,7374.18427270444,11.803053,97.9005
0.5,1,50,120,10471.05070329547,11.803053,115.1
0.5,1,50,140,23559.421178184788,11.803053,82.0709
0.5,1,50,150,17136.894763745328,11.803053,127.447
0.5,1,50,160,18684.6370231519,11.803053,100.459
0.5,1,50,180,17301.379785365472,11.803053,112.858
